gene	Sample_ID	TCGA	Treehouse_pc	TCGA_not_treehouse_pc	PEDAYA	TH03_TH34	Treehouse_pd
AKT1	TH34_1444_S01	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE
AKT1	TH34_1452_S01	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
AKT2	TH34_1444_S01	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
ALK	TH34_1414_S01	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
BCL6	TH34_2292_S01	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
BCL6	TH34_1150_S02	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
BTK	TH34_1238_S01	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE
BTK	TH34_1239_S01	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
BTK	TH34_1350_S01	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
CCND1	TH34_1150_S02	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
CCND2	TH34_1352_S01	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
CCND2	TH34_1379_S01	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
CCND3	TH34_1238_S01	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
CCND3	TH34_1239_S01	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
CCNE1	TH34_1447_S01	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
CDK4	TH34_2411_S01	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
CDK4	TH34_1414_S01	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE
CDK9	TH34_1238_S01	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
CDK9	TH34_1455_S01	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE
CDK9	TH34_1150_S02	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
CSF1R	TH34_1162_S01	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
DEPTOR	TH34_1444_S01	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
ETV1	TH34_1349_S01	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
ETV1	TH34_1349_S02	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
ETV1	TH34_1445_S02	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
ETV1	TH34_2292_S01	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
FGFR1	TH34_1179_S01	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
FGFR1	TH34_1352_S01	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
FGFR1	TH34_2411_S01	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
FGFR2	TH34_1352_S01	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
FGFR3	TH34_1452_S01	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE
FGFR3	TH34_1455_S01	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
FGFR4	TH34_1379_S01	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
FGFR4	TH34_1380_S01	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
FGFR4	TH34_1412_S01	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
FGFR4	TH34_1414_S01	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE
FGFR4	TH34_2351_S01	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
FLT4	TH34_2292_S01	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
FLT4	TH34_1415_S01	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE
FLT4	TH34_2666_S01	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
GATA2	TH34_1162_S01	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
GATA2	TH34_1456_S02	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE
HDAC4	TH34_1452_S01	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
HDAC7	TH34_1456_S02	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
HMOX1	TH34_1162_S01	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE
HMOX1	TH34_1415_S01	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE
HMOX1	TH34_1379_S01	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE
HMOX1	TH34_1447_S01	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
HMOX1	TH34_1447_S02	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
HMOX1	TH34_2292_S01	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
HMOX1	TH34_1445_S02	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
HMOX1	TH34_2351_S01	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
HSP90B1	TH34_1381_S01	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE
IGF1	TH34_1149_S02	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
IGF1	TH34_1399_S01	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE
IGF1	TH34_1400_S01	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
IGF2	TH34_1163_S01	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
IGF2	TH34_1349_S01	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
IGF2	TH34_1349_S02	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
IGF2	TH34_1352_S01	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
IGF2	TH34_1379_S01	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
IGF2	TH34_1380_S01	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
IGF2	TH34_1381_S01	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
IGF2	TH34_1399_S01	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
IGF2	TH34_1412_S01	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
IGF2	TH34_1414_S01	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
IGF2	TH34_1445_S02	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
IGF2	TH34_1447_S01	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
IGF2	TH34_1447_S02	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
IGF2	TH34_1452_S01	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
IGF2	TH34_1455_S01	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
IGF2	TH34_2293_S01	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
IGF2	TH34_2351_S01	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
IGF2	TH34_2410_S01	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
IL6	TH34_1415_S01	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
JAK1	TH34_1150_S02	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
JAK1	TH34_1162_S01	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE
KDR	TH34_1412_S01	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE
KDR	TH34_1456_S02	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
KIT	TH34_1349_S01	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
KIT	TH34_1349_S02	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
KIT	TH34_1444_S01	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
MAP2K2	TH34_2411_S01	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE
MAP2K2	TH34_1380_S01	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
MAP2K4	TH34_1351_S01	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE
MDM2	TH34_2411_S01	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
MDM2	TH34_2666_S01	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
MS4A1	TH34_1238_S01	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
MTOR	TH34_1238_S01	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
NOTCH3	TH34_1380_S01	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE
NTRK2	TH34_1400_S01	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
NTRK2	TH34_1444_S01	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
NTRK2	TH34_1445_S02	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
NTRK2	TH34_1446_S01	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
NTRK2	TH34_1452_S01	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
NTRK2	TH34_1455_S01	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE
NTRK2	TH34_1381_S01	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
NTRK3	TH34_1149_S02	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE
NTRK3	TH34_1412_S01	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
NTRK3	TH34_1445_S02	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE
NTRK3	TH34_1446_S01	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
PARP1	TH34_1381_S01	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
PARP2	TH34_1447_S01	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE
PARP2	TH34_1447_S02	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
PDCD1	TH34_1150_S02	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE
PDGFRA	TH34_1352_S01	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
PIK3CD	TH34_1238_S01	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE
PIK3CD	TH34_1239_S01	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE
PIK3CD	TH34_1350_S01	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
PIK3R1	TH34_1381_S01	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
PIK3R2	TH34_1452_S01	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE
PIK3R2	TH34_1444_S01	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
PIK3R5	TH34_1239_S01	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
PIK3R5	TH34_1350_S01	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
PTCH1	TH34_1179_S01	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
PTCH1	TH34_1349_S01	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
PTCH1	TH34_1349_S02	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
RAF1	TH34_1444_S01	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
RPTOR	TH34_1238_S01	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
STAT1	TH34_2293_S01	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
STAT2	TH34_1414_S01	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE
STAT5A	TH34_1400_S01	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE
TSC2	TH34_1381_S01	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
TSC2	TH34_1444_S01	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE
TSC2	TH34_1452_S01	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE
VEGFA	TH34_1381_S01	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE
VEGFA	TH34_1445_S02	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE
VEGFA	TH34_2292_S01	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE
VEGFC	TH34_1444_S01	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE
WEE1	TH34_1445_S02	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE
